Segment,TimeStart,TimeEnd,S1_RMS,S1_MeanFreq,S1_MAV,S1_Trend,S2_RMS,S2_MeanFreq,S2_MAV,S2_Trend,S3_RMS,S3_MeanFreq,S3_MAV,S3_Trend,S4_RMS,S4_MeanFreq,S4_MAV,S4_Trend,S5_RMS,S5_MeanFreq,S5_MAV,S5_Trend,S6_RMS,S6_MeanFreq,S6_MAV,S6_Trend,S7_RMS,S7_MeanFreq,S7_MAV,S7_Trend,S8_RMS,S8_MeanFreq,S8_MAV,S8_Trend
12,220,240,0.004393163086264901,116.603419040892,0.0034268697240420884,2.5920954584569806e-06,0.012943490256459245,109.36735870674434,0.01121582406591225,-5.2435071144488004e-06,0.044262025278733685,57.607912149020024,0.037758213011713324,-1.7052546064805193e-06,0.02166545544708199,87.45924320326938,0.01707084516180266,-2.7096842050428224e-06,0.016123431578007556,145.0756827184942,0.010846394782608694,8.146885701434013e-06,0.02786234082839838,132.36948943174292,0.022797119237641453,3.9176262536138946e-06,0.012565343933853454,126.96014370658278,0.011864006329164187,-7.96338378514441e-06,0.02020186347179879,132.5904934093939,0.019718981758983522,1.9077450034682015e-06
13,240,260,0.004266637097146333,111.87367728620653,0.0033530784673416712,3.446547503150464e-06,0.013204004181049405,110.52780900966623,0.011360653114949376,7.593063586418788e-06,0.04515062842823213,57.77518642000329,0.038522648636092914,1.4530611243069373e-06,0.02154461723427777,85.46198655674304,0.017007404335914234,1.1696112810079193e-05,0.016018785670596787,137.49769682548785,0.010998769489775661,-9.902260423460614e-06,0.027429277456596006,126.80670644162893,0.02268563344451062,2.7430159269563288e-06,0.01253595166862559,122.90365609750944,0.01192514814770697,-3.1355639200458875e-07,0.02006499417702131,129.74108401091948,0.019702274544371647,7.112694709671297e-06
14,260,280,0.004321627474829128,111.15959849016141,0.0033864695957750955,2.154112631935269e-06,0.01330940957629766,112.15868248237076,0.011331178172649302,-2.0862278039253924e-05,0.047854198823671895,57.24199261173323,0.04096168484752224,3.6151717856954146e-07,0.022020684168906957,86.15363550233052,0.01731328632465057,-1.5631166679650963e-09,0.015118793296918322,137.48776731062526,0.010348509232052099,1.527103353279336e-06,0.026139235395824797,125.5691331441653,0.022333181317503177,-4.0583360136309945e-06,0.012385731871451065,128.75156184456816,0.011833585673443456,-1.7428705832474375e-07,0.02002887613403476,135.21711905484582,0.019703996855146122,2.2472756823963244e-07
15,280,300,0.004595672323191904,114.02105064927224,0.0035639555449672425,2.4626590802093e-06,0.013591967378854554,111.9484571558664,0.011530654941433394,2.624399660590428e-06,0.04850787858199085,57.68227858138503,0.04154136261266627,4.890004492158559e-06,0.022815454837145616,90.61187258588537,0.017863805384157237,5.990715005546238e-07,0.01415102200152082,133.9522994334821,0.009574298149692276,3.4967447190352917e-06,0.02680641833977089,128.74708135231415,0.022460501834425252,2.632784390614388e-06,0.012799589276912573,120.96143226657964,0.012047251224935477,-2.9002899487501696e-06,0.020335360471162238,121.72500395315058,0.019766220563827677,6.125455809214609e-09
16,300,320,0.004552987110266793,112.67733748519956,0.003531471831321474,-4.422829810647782e-06,0.013746464477851644,112.15292478127294,0.01160685246982211,-1.947056216901509e-06,0.049662202809755286,57.73029385954,0.04242659343233799,5.0884171075910416e-06,0.022550836689764642,89.23874430632861,0.01768570850142948,1.056372850524073e-06,0.016846632792693803,140.8587959437579,0.011445808878653112,1.9978052293277556e-06,0.027343416000579063,126.71343140027267,0.02263396167010801,4.847878156382552e-07,0.012639756135078237,122.04054626422128,0.01194722246664549,1.5866227841201741e-06,0.020155360678771835,130.84181794424313,0.01975734922966963,-2.0548321999211617e-06
17,320,340,0.004512721490158421,111.961208960559,0.0035167167394584294,-1.7944665710174661e-06,0.013752277382646165,111.27800021265418,0.011646223659969826,-2.672203514640067e-06,0.0486449712374276,57.258708435245886,0.041701398062415636,1.0542397622440987e-05,0.021824784134476884,87.35232512031808,0.017129353823552768,4.40738651175895e-06,0.014937353210907335,135.66322654098192,0.01036251634638291,4.3986444207338095e-06,0.027123851442753977,130.39893282613644,0.022795636158977207,-1.1013815830050807e-06,0.01246764887393866,124.6132435859536,0.011889713328833481,3.958544453149943e-06,0.02008544549474952,131.5434092928086,0.01973504115778607,4.929153946471854e-06
18,340,360,0.004319970871821462,107.42361904789618,0.003376785248570521,-2.8416758376163365e-06,0.013471258274603147,109.78753682220626,0.011535631801937736,6.457025115363391e-07,0.04887484532560235,57.182119604281624,0.041854970246982204,1.3567338876688046e-06,0.02199593060689895,87.71034284185511,0.017425983664231256,-3.49559254479448e-06,0.01597030194602972,132.71253837674658,0.011041541315914867,2.5039231105044947e-07,0.027797628842135935,124.663105761774,0.02284113984275731,1.7220449745661993e-06,0.012438970809571662,123.70217685227647,0.01188069361102287,-4.352525839760804e-07,0.01997801825780358,125.85473738425686,0.01969401411610546,2.315845508929596e-06
19,360,380,0.004595180124944371,111.79994609941028,0.003583125246188056,2.337391785901809e-06,0.013541085617819264,108.7882317284094,0.01155706603001906,-4.999617688369788e-06,0.04941872085954579,56.943466398367605,0.0423853707909784,-2.256128373209921e-05,0.02269673116244288,89.26488710693388,0.01780769667249047,2.1595443073825477e-06,0.01294086773179052,129.72278538987874,0.00922135133418043,-1.8912368177380673e-06,0.02761144805511033,125.97113866964666,0.02278262896680432,-5.954932102622105e-07,0.012653202634108983,122.33936439831298,0.011967044230463785,-6.26433313645321e-07,0.02021070792632332,129.01483252847072,0.019769805340692503,1.3224560541939306e-06
20,380,400,0.004468082964305498,109.35290561851745,0.003507972162001191,6.540281506148703e-06,0.01376709205398415,110.50382704672973,0.011626252074647608,4.733522258453929e-06,0.05045093543640411,57.241671810237364,0.04324833282906492,-5.3912100155966015e-06,0.021786809338498296,89.01293030218564,0.017098363259876913,-3.842516497304671e-06,0.014817966608735375,134.51977819471682,0.010397863883263848,2.4325167012374127e-05,0.02749830896467373,123.0275985102663,0.022728786837403217,1.9676328413436135e-08,0.01250584692017222,126.56403674601792,0.011935291848322415,3.4002009136309206e-07,0.020130338170565535,127.56350586929968,0.0197828233710542,1.2882524231975881e-06
21,400,420,0.006199175720994183,124.97963285209768,0.004726021540599564,-8.902174877959282e-06,0.01393746433598998,111.9810706705241,0.011736185586658725,-7.614537381056152e-06,0.04919845469861851,56.970329426344776,0.042234665860631335,6.418268813333103e-06,0.02184979011594688,87.83123531764389,0.017109086881080007,4.6556731576757825e-07,0.019377695561089557,143.6598712812508,0.013604637010125074,-2.0837024450516855e-05,0.02817760672843351,129.78486155363765,0.023048889914631724,-5.5810062534651525e-06,0.01264427013634225,128.02062895754557,0.011958878094103632,5.556138115613654e-06,0.020350988135701645,143.40570932048976,0.01979800916021441,5.230714956505454e-06
